Id,MatchupId,TeamId,ActualScore,ProjectedScore
8,4,1,140.44,NULL
22,11,1,118.18,NULL
34,17,1,129.56,NULL
48,24,1,115.38,NULL
59,30,1,113.36,NULL
71,36,1,116.82,NULL
81,41,1,136.12,NULL
88,44,1,129.06,NULL
98,49,1,99.22,NULL
114,57,1,99.7,NULL
128,64,1,96.8,NULL
140,70,1,NULL,107.42
154,77,1,NULL,108.08
9,5,2,81.64,NULL
21,11,2,121.62,NULL
31,16,2,130.72,NULL
43,22,2,141.16,NULL
52,26,2,119.34,NULL
62,31,2,68.72,NULL
78,39,2,124,NULL
92,46,2,75.14,NULL
106,53,2,116.1,NULL
119,60,2,138.78,NULL
131,66,2,93.96,NULL
141,71,2,NULL,102.88
153,77,2,NULL,104.06
7,4,3,139.58,NULL
19,10,3,107.5,NULL
29,15,3,123.92,NULL
40,20,3,141.74,NULL
50,25,3,121.04,NULL
66,33,3,156.1,NULL
80,40,3,110.68,NULL
93,47,3,128.18,NULL
105,53,3,96,NULL
117,59,3,106.04,NULL
129,65,3,119.68,NULL
139,70,3,NULL,107.43
151,76,3,NULL,109.72
5,3,4,76.44,NULL
17,9,4,150.24,NULL
28,14,4,99.9,NULL
38,19,4,116.72,NULL
54,27,4,52.72,NULL
67,34,4,84.64,NULL
79,40,4,99.34,NULL
91,46,4,104.96,NULL
103,52,4,116.82,NULL
115,58,4,127.86,NULL
127,64,4,104.4,NULL
137,69,4,NULL,102.04
149,75,4,NULL,99.63
2,1,5,90.64,NULL
15,8,5,87.42,NULL
27,14,5,99.88,NULL
39,20,5,125.54,NULL
51,26,5,149.9,NULL
63,32,5,121.16,NULL
75,38,5,74.94,NULL
87,44,5,144.96,NULL
99,50,5,105.78,NULL
111,56,5,155.36,NULL
123,62,5,109.64,NULL
134,67,5,NULL,116.2
147,74,5,NULL,112.07
3,2,6,84.68,NULL
16,8,6,103.28,NULL
26,13,6,146.32,NULL
41,21,6,97.08,NULL
53,27,6,103.82,NULL
65,33,6,134.38,NULL
77,39,6,107.36,NULL
89,45,6,116.42,NULL
101,51,6,99.3,NULL
113,57,6,126.74,NULL
125,63,6,200.46,NULL
135,68,6,NULL,120.85
148,74,6,NULL,121.28
10,5,7,67.22,NULL
24,12,7,84.42,NULL
35,18,7,75.1,NULL
47,24,7,113.5,NULL
57,29,7,102.52,NULL
69,35,7,146.08,NULL
76,38,7,131.92,NULL
86,43,7,143.84,NULL
102,51,7,145.48,NULL
116,58,7,89.32,NULL
130,65,7,134.02,NULL
142,71,7,NULL,118.43
156,78,7,NULL,113.41
11,6,8,85.12,NULL
23,12,8,121.04,NULL
33,17,8,119.3,NULL
45,23,8,96.64,NULL
55,28,8,102.02,NULL
64,32,8,115.12,NULL
74,37,8,95.86,NULL
90,45,8,90.58,NULL
104,52,8,103.4,NULL
118,59,8,102.64,NULL
132,66,8,122.56,NULL
143,72,8,NULL,110.61
155,78,8,NULL,110.03
12,6,9,81.6,NULL
14,7,9,92.06,NULL
36,18,9,107,NULL
42,21,9,101.18,NULL
60,30,9,97.74,NULL
68,34,9,98.8,NULL
84,42,9,138.26,NULL
94,47,9,91.22,NULL
108,54,9,108.16,NULL
120,60,9,97.36,NULL
124,62,9,104.28,NULL
144,72,9,NULL,117.9
146,73,9,NULL,114.23
1,1,10,92.02,NULL
13,7,10,79.78,NULL
25,13,10,94.2,NULL
37,19,10,69.48,NULL
49,25,10,125.44,NULL
61,31,10,109.02,NULL
73,37,10,88.58,NULL
85,43,10,94.82,NULL
97,49,10,97.74,NULL
109,55,10,120.9,NULL
121,61,10,107.6,NULL
133,67,10,NULL,113.02
145,73,10,NULL,106.99
4,2,11,111.34,NULL
18,9,11,124.5,NULL
30,15,11,94.36,NULL
44,22,11,94.34,NULL
56,28,11,77.1,NULL
70,35,11,85.44,NULL
82,41,11,100.12,NULL
96,48,11,87.92,NULL
107,54,11,122.42,NULL
112,56,11,82.26,NULL
122,61,11,92.74,NULL
136,68,11,NULL,90.96
150,75,11,NULL,92.23
6,3,12,129.48,NULL
20,10,12,108.38,NULL
32,16,12,107.06,NULL
46,23,12,72.46,NULL
58,29,12,74.26,NULL
72,36,12,64.58,NULL
83,42,12,84.46,NULL
95,48,12,82.6,NULL
100,50,12,76.24,NULL
110,55,12,64.86,NULL
126,63,12,77.86,NULL
138,69,12,NULL,96.35
152,76,12,NULL,73.96
