Id,WeekNum,Team1Id,Team2Id
1,1,10,5
2,1,6,11
3,1,4,12
4,1,3,1
5,1,2,7
6,1,8,9
7,2,10,9
8,2,5,6
9,2,4,11
10,2,3,12
11,2,2,1
12,2,8,7
13,3,10,6
14,3,5,4
15,3,3,11
16,3,2,12
17,3,8,1
18,3,7,9
19,4,10,4
20,4,5,3
21,4,6,9
22,4,2,11
23,4,8,12
24,4,7,1
25,5,10,3
26,5,5,2
27,5,6,4
28,5,8,11
29,5,7,12
30,5,1,9
31,6,10,2
32,6,5,8
33,6,6,3
34,6,4,9
35,6,7,11
36,6,1,12
37,7,10,8
38,7,5,7
39,7,6,2
40,7,4,3
41,7,1,11
42,7,12,9
43,8,10,7
44,8,5,1
45,8,6,8
46,8,4,2
47,8,3,9
48,8,12,11
49,9,10,1
50,9,5,12
51,9,6,7
52,9,4,8
53,9,3,2
54,9,11,9
55,10,10,12
56,10,5,11
57,10,6,1
58,10,4,7
59,10,3,8
60,10,2,9
61,11,10,11
62,11,5,9
63,11,6,12
64,11,4,1
65,11,3,7
66,11,2,8
67,12,10,5
68,12,6,11
69,12,4,12
70,12,3,1
71,12,2,7
72,12,8,9
73,13,10,9
74,13,5,6
75,13,4,11
76,13,3,12
77,13,2,1
78,13,8,7
