Romophobia,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,14.01%,39.79%,35.78%,10.42%,0.00%,0.00%,0.00%,97.01%
Up to no Good(ell),0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,30.04%,46.02%,21.11%,2.83%,0.00%,0.00%,0.00%,84.01%
Beaver Free 4 Top 3,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,4.53%,37.37%,45.06%,13.04%,0.00%,0.00%,0.00%,0.00%,94.69%
Hangin Like Aaron,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,6.59%,29.96%,42.35%,21.10%,0.00%,0.00%,0.00%,0.00%,68.18%
Blounts and Broads,0.00%,0.00%,0.00%,0.00%,0.00%,13.68%,38.93%,36.45%,10.94%,0.00%,0.00%,0.00%,0.00%,0.00%,42.00%
Wyoming Gym Teacher,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,6.75%,42.31%,50.94%,0.00%,0.00%,0.00%,0.00%,0.00%,92.15%
Kyle's Pile,0.00%,0.00%,0.00%,0.00%,0.00%,4.38%,24.16%,45.12%,26.34%,0.00%,0.00%,0.00%,0.00%,0.00%,59.99%
Dez Nuts,0.00%,0.00%,0.00%,0.00%,0.00%,6.61%,35.33%,43.14%,14.92%,0.00%,0.00%,0.00%,0.00%,0.00%,30.68%
Tanner's Unreal Team,0.00%,0.00%,0.00%,0.00%,0.00%,8.51%,33.86%,41.01%,16.62%,0.00%,0.00%,0.00%,0.00%,0.00%,29.08%
Huge Alcohol Party,0.00%,0.00%,0.00%,0.00%,10.89%,37.34%,39.25%,12.52%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.21%
Jackson's Team,0.00%,0.00%,0.00%,32.63%,45.27%,19.61%,2.49%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Anal Squirt,0.00%,0.00%,49.08%,45.69%,5.23%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
